bound_id,entity_type,entity_id,floor_price,ceiling_price,currency,max_daily_move_pct,max_weekly_move_pct,rounding_step,override_active,updated_at
pbd_37d8568d,room_type,rmt_abf76879,6892.70,17001.98,INR,10,30,10.00,0,2026-08-18T10:00:00+05:30
pbd_8aab5034,room_type,rmt_f62c2e52,9477.46,23377.73,INR,10,30,50.00,0,2026-08-18T10:00:00+05:30
pbd_56f97cdf,room_type,rmt_8e329c08,1257.29,3101.30,INR,5,25,50.00,0,2026-08-18T10:00:00+05:30
pbd_6033694f,room_type,rmt_0d437b01,1571.60,3876.62,INR,15,30,50.00,0,2026-08-18T10:00:00+05:30
pbd_aae47d63,room_type,rmt_d98cf881,2011.65,4962.07,INR,8,30,1.00,0,2026-08-18T10:00:00+05:30
pbd_98f54ec3,room_type,rmt_28b68b92,2766.02,6822.86,INR,15,25,1.00,0,2026-08-18T10:00:00+05:30
pbd_5bd9d07f,room_type,rmt_26f79673,5800.61,14308.18,INR,5,18,1.00,0,2026-08-18T10:00:00+05:30
pbd_3988730b,room_type,rmt_88ce3091,7250.77,17885.23,INR,5,18,1.00,0,2026-08-18T10:00:00+05:30
pbd_ef5b68f4,room_type,rmt_f11f8933,9280.99,22893.10,INR,15,25,10.00,0,2026-08-18T10:00:00+05:30
pbd_8d40e86e,room_type,rmt_7da49a3b,12761.36,31478.01,INR,8,30,50.00,0,2026-08-18T10:00:00+05:30
pbd_6d962e07,room_type,rmt_55c522a8,2985.48,7364.18,INR,15,18,50.00,0,2026-08-18T10:00:00+05:30
pbd_28a9536f,room_type,rmt_b3a2ad07,3731.85,9205.23,INR,10,30,1.00,0,2026-08-18T10:00:00+05:30
pbd_9e9e716c,room_type,rmt_5ad272e6,4776.77,11782.71,INR,8,25,1.00,0,2026-08-18T10:00:00+05:30
pbd_265f5693,room_type,rmt_97174185,6568.06,16201.21,INR,5,30,1.00,0,2026-08-18T10:00:00+05:30
pbd_491df5d6,room_type,rmt_c7feb9b7,10949.96,27009.91,INR,8,25,1.00,0,2026-08-18T10:00:00+05:30
pbd_e8ab9b7a,room_type,rmt_80d53c61,13687.46,33762.39,INR,15,25,1.00,0,2026-08-18T10:00:00+05:30
pbd_3f181cbe,room_type,rmt_031c6f90,17519.94,43215.85,INR,10,30,1.00,0,2026-08-18T10:00:00+05:30
pbd_f368d0b8,room_type,rmt_a9cac23c,24089.92,59421.80,INR,8,25,1.00,0,2026-08-18T10:00:00+05:30
pbd_5241f04d,room_type,rmt_38d11d09,3775.04,9311.77,INR,10,25,10.00,0,2026-08-18T10:00:00+05:30
pbd_e932b113,room_type,rmt_3805cbd2,849.38,2095.14,INR,15,30,1.00,0,2026-08-18T10:00:00+05:30
pbd_84064a76,room_type,rmt_2db0c6c3,6040.07,14898.83,INR,8,30,10.00,0,2026-08-18T10:00:00+05:30
pbd_be4b1c5c,room_type,rmt_57ea2198,8305.10,20485.90,INR,10,30,50.00,0,2026-08-18T10:00:00+05:30
pbd_4acf9750,room_type,rmt_605d2d42,2797.58,6900.70,INR,10,18,50.00,0,2026-08-18T10:00:00+05:30
pbd_44cb37ab,room_type,rmt_e80871dd,3496.98,8625.88,INR,5,18,50.00,0,2026-08-18T10:00:00+05:30
pbd_04acbec4,room_type,rmt_4804f8a1,4476.14,11041.13,INR,10,25,10.00,0,2026-08-18T10:00:00+05:30
pbd_68c66140,room_type,rmt_f1aa536a,6154.69,15181.56,INR,10,18,10.00,0,2026-08-18T10:00:00+05:30
pbd_09aabee4,room_type,rmt_0b8a155f,4278.89,10554.58,INR,8,18,1.00,0,2026-08-18T10:00:00+05:30
pbd_3ad57ada,room_type,rmt_f63f6226,5348.60,13193.22,INR,8,30,50.00,0,2026-08-18T10:00:00+05:30
pbd_3f4cefca,room_type,rmt_1aa74dbb,6846.21,16887.32,INR,8,30,1.00,0,2026-08-18T10:00:00+05:30
pbd_4583c9a7,room_type,rmt_799621f4,9413.54,23220.07,INR,5,18,1.00,0,2026-08-18T10:00:00+05:30
pbd_7d793056,room_type,rmt_8ec9a685,4526.52,11165.42,INR,8,18,1.00,0,2026-08-18T10:00:00+05:30
pbd_9e653926,room_type,rmt_c946b4c2,5658.15,13956.77,INR,10,30,10.00,0,2026-08-18T10:00:00+05:30
pbd_55ffef77,room_type,rmt_2b67c1df,7242.44,17864.67,INR,5,30,1.00,0,2026-08-18T10:00:00+05:30
pbd_d81d8711,room_type,rmt_afec0845,9958.35,24563.93,INR,15,18,1.00,0,2026-08-18T10:00:00+05:30
pbd_1a0179b5,room_type,rmt_ddb7c473,2356.07,5811.63,INR,15,30,50.00,0,2026-08-18T10:00:00+05:30
pbd_0db2c257,room_type,rmt_9947d92b,2945.08,7264.52,INR,10,30,10.00,0,2026-08-18T10:00:00+05:30
pbd_6c1f37c6,room_type,rmt_762d6fb4,3769.70,9298.60,INR,10,18,10.00,0,2026-08-18T10:00:00+05:30
pbd_75dd94ae,room_type,rmt_275eaa9e,5183.34,12785.57,INR,10,18,50.00,0,2026-08-18T10:00:00+05:30
pbd_ba3bf953,room_type,rmt_3a584d76,2072.48,5112.11,INR,8,18,50.00,0,2026-08-18T10:00:00+05:30
pbd_2e044dc8,room_type,rmt_da45524e,2590.59,6390.12,INR,8,25,50.00,0,2026-08-18T10:00:00+05:30
pbd_6a8bc9e9,room_type,rmt_a990cc08,3315.96,8179.37,INR,5,18,10.00,0,2026-08-18T10:00:00+05:30
pbd_af4048d3,room_type,rmt_24f68d46,4559.45,11246.63,INR,5,30,10.00,0,2026-08-18T10:00:00+05:30
pbd_5b973c0b,room_type,rmt_d34a3325,10617.74,26190.43,INR,5,18,1.00,0,2026-08-18T10:00:00+05:30
pbd_0703e89d,room_type,rmt_06f0a27d,13272.18,32738.04,INR,15,30,10.00,0,2026-08-18T10:00:00+05:30
pbd_c15a90fd,room_type,rmt_869e7f7d,16988.39,41904.68,INR,15,25,50.00,0,2026-08-18T10:00:00+05:30
pbd_54945862,room_type,rmt_6a7df85e,23359.03,57618.93,INR,10,18,1.00,0,2026-08-18T10:00:00+05:30
pbd_56020e76,room_type,rmt_188dccb2,4535.03,11186.41,INR,5,30,1.00,0,2026-08-18T10:00:00+05:30
pbd_16a2ab68,room_type,rmt_3720831a,5668.79,13983.02,INR,10,25,1.00,0,2026-08-18T10:00:00+05:30
pbd_97e7b1fa,room_type,rmt_4cdda78e,7256.06,17898.27,INR,15,25,50.00,0,2026-08-18T10:00:00+05:30
pbd_2dfda41a,room_type,rmt_225fff85,9977.08,24610.12,INR,15,30,10.00,0,2026-08-18T10:00:00+05:30
pbd_cd9bc41e,room_type,rmt_088faae1,2586.35,6379.67,INR,10,30,10.00,0,2026-08-18T10:00:00+05:30
pbd_7ea38b1f,room_type,rmt_3f0b8e63,3232.94,7974.59,INR,10,30,1.00,0,2026-08-18T10:00:00+05:30
pbd_da816f52,room_type,rmt_91b575ba,4138.16,10207.47,INR,8,18,50.00,0,2026-08-18T10:00:00+05:30
pbd_bc291807,room_type,rmt_1e240f61,5689.97,14035.27,INR,15,30,1.00,0,2026-08-18T10:00:00+05:30
pbd_a6011b97,room_type,rmt_034dffff,4191.26,10338.43,INR,10,18,1.00,0,2026-08-18T10:00:00+05:30
pbd_92a3c597,room_type,rmt_7f9f494c,5239.07,12923.05,INR,5,25,10.00,0,2026-08-18T10:00:00+05:30
pbd_c7b55b76,room_type,rmt_632cc1f3,6706.01,16541.50,INR,5,30,1.00,0,2026-08-18T10:00:00+05:30
pbd_0b26ba0b,room_type,rmt_92601702,9220.76,22744.55,INR,5,18,1.00,0,2026-08-18T10:00:00+05:30
pbd_d666830d,room_type,rmt_7cebcac9,1433.71,3536.48,INR,5,18,50.00,0,2026-08-18T10:00:00+05:30
pbd_bca6c76b,room_type,rmt_7a6d1768,1792.14,4420.61,INR,10,18,1.00,0,2026-08-18T10:00:00+05:30
pbd_1d5b4b18,room_type,rmt_58eeb2ee,2293.94,5658.37,INR,15,30,50.00,0,2026-08-18T10:00:00+05:30
pbd_2112ad9c,room_type,rmt_bd571c9a,3154.16,7780.27,INR,8,25,1.00,0,2026-08-18T10:00:00+05:30
pbd_be8a618a,room_type,rmt_319a657b,1272.71,3139.36,INR,8,25,10.00,0,2026-08-18T10:00:00+05:30
pbd_bdbefe6f,room_type,rmt_fcb045a1,1590.89,3924.20,INR,10,25,10.00,0,2026-08-18T10:00:00+05:30
pbd_6f54aa21,room_type,rmt_e99927f7,2036.34,5022.97,INR,15,18,50.00,0,2026-08-18T10:00:00+05:30
pbd_c766328f,room_type,rmt_4be4b5c2,2799.97,6906.59,INR,15,30,10.00,0,2026-08-18T10:00:00+05:30
pbd_32d0bbec,room_type,rmt_236b4df9,5576.36,13755.03,INR,15,25,10.00,0,2026-08-18T10:00:00+05:30
pbd_c8970416,room_type,rmt_616f0ab4,6970.45,17193.77,INR,15,18,1.00,0,2026-08-18T10:00:00+05:30
pbd_c91722c2,room_type,rmt_9abeddeb,8922.18,22008.04,INR,10,25,1.00,0,2026-08-18T10:00:00+05:30
pbd_dbac0c02,room_type,rmt_56416285,12268.00,30261.06,INR,10,30,1.00,0,2026-08-18T10:00:00+05:30
pbd_25081da1,room_type,rmt_315d2584,2943.41,7260.40,INR,10,30,1.00,0,2026-08-18T10:00:00+05:30
pbd_d88e21ea,room_type,rmt_5951d936,3679.26,9075.51,INR,8,30,1.00,0,2026-08-18T10:00:00+05:30
pbd_7e8b937e,room_type,rmt_4f1d0d38,4709.45,11616.65,INR,8,18,1.00,0,2026-08-18T10:00:00+05:30
pbd_5d1006d0,room_type,rmt_9a171b36,6475.50,15972.90,INR,8,25,1.00,0,2026-08-18T10:00:00+05:30
pbd_97f797c0,room_type,rmt_c015a465,5800.55,14308.03,INR,5,18,1.00,0,2026-08-18T10:00:00+05:30
pbd_78b1a501,room_type,rmt_3e0f14b7,7250.69,17885.02,INR,8,30,50.00,0,2026-08-18T10:00:00+05:30
pbd_578ad7c9,room_type,rmt_4432ea46,9280.88,22892.84,INR,10,25,1.00,0,2026-08-18T10:00:00+05:30
pbd_9fd70e56,room_type,rmt_ad2452fd,12761.21,31477.66,INR,10,25,1.00,0,2026-08-18T10:00:00+05:30
pbd_7d96ee58,room_type,rmt_0b8a6b18,1938.88,4782.56,INR,10,18,50.00,0,2026-08-18T10:00:00+05:30
pbd_8ef2e3ec,room_type,rmt_44d57f99,2423.60,5978.22,INR,5,18,50.00,0,2026-08-18T10:00:00+05:30
pbd_54532bf8,room_type,rmt_67bc39b7,3102.21,7652.12,INR,15,25,50.00,0,2026-08-18T10:00:00+05:30
pbd_8c6127c7,room_type,rmt_b8fc1bd0,23460.47,57869.15,INR,5,18,50.00,0,2026-08-18T10:00:00+05:30
pbd_216654f5,room_type,rmt_f72ec4e5,4362.37,10760.51,INR,15,25,1.00,1,2026-08-18T10:00:00+05:30
pbd_38c0386c,room_type,rmt_b4972b6b,5452.97,13450.65,INR,8,18,50.00,0,2026-08-18T10:00:00+05:30
pbd_2de964f6,room_type,rmt_a2bd4417,6979.79,17216.82,INR,15,30,10.00,0,2026-08-18T10:00:00+05:30
pbd_1e9e1013,room_type,rmt_9e3a33aa,9597.22,23673.14,INR,15,30,50.00,0,2026-08-18T10:00:00+05:30
pbd_e898772f,room_type,rmt_3bf92d12,8557.91,21109.52,INR,10,30,50.00,0,2026-08-18T10:00:00+05:30
pbd_91510568,room_type,rmt_03e3757c,10697.39,26386.88,INR,15,30,1.00,0,2026-08-18T10:00:00+05:30
pbd_80b28068,room_type,rmt_37928dbf,75309.61,185763.70,INR,15,25,50.00,0,2026-08-18T10:00:00+05:30
pbd_15d857e8,room_type,rmt_2ecf1620,18827.40,46440.92,INR,8,18,10.00,0,2026-08-18T10:00:00+05:30
pbd_5226c6a7,room_type,rmt_090d2307,8297.81,20467.92,INR,5,18,50.00,0,2026-08-18T10:00:00+05:30
pbd_ef7ce8f9,room_type,rmt_f41a96ee,10372.26,25584.91,INR,8,18,50.00,0,2026-08-18T10:00:00+05:30
pbd_eaf9b849,room_type,rmt_ce0551dd,13276.49,32748.68,INR,5,18,1.00,0,2026-08-18T10:00:00+05:30
pbd_e3d23bea,room_type,rmt_a8f140d8,18255.18,45029.44,INR,5,30,50.00,0,2026-08-18T10:00:00+05:30
pbd_f6bf3d77,room_type,rmt_54db1870,1665.40,4107.98,INR,15,18,1.00,0,2026-08-18T10:00:00+05:30
pbd_612565ee,room_type,rmt_9145d827,2081.75,5134.97,INR,5,25,1.00,0,2026-08-18T10:00:00+05:30
pbd_56dd6d4d,room_type,rmt_76f62025,2664.64,6572.77,INR,5,25,50.00,0,2026-08-18T10:00:00+05:30
pbd_99ef7a17,room_type,rmt_f09dd267,3663.88,9037.56,INR,15,30,50.00,0,2026-08-18T10:00:00+05:30
pbd_bd1dc38d,room_type,rmt_465c592e,5056.93,12473.75,INR,5,25,50.00,0,2026-08-18T10:00:00+05:30
pbd_c3042897,room_type,rmt_f7c68cca,6321.17,15592.21,INR,5,25,10.00,0,2026-08-18T10:00:00+05:30
pbd_26e79aaf,room_type,rmt_23e56fd9,8091.09,19958.02,INR,10,30,10.00,0,2026-08-18T10:00:00+05:30
pbd_03523de1,room_type,rmt_61db34ed,11125.25,27442.27,INR,8,25,50.00,0,2026-08-18T10:00:00+05:30
pbd_07d3336f,room_type,rmt_f5a6d0c3,2974.05,7335.99,INR,10,25,50.00,0,2026-08-18T10:00:00+05:30
pbd_f74b7ec0,room_type,rmt_f782afc8,3717.57,9170.01,INR,5,18,50.00,0,2026-08-18T10:00:00+05:30
pbd_a9311e36,room_type,rmt_1805b104,4758.49,11737.60,INR,10,18,50.00,0,2026-08-18T10:00:00+05:30
pbd_3e12ea59,room_type,rmt_81e245d4,6542.92,16139.20,INR,5,25,50.00,0,2026-08-18T10:00:00+05:30
pbd_8c5f70cd,room_type,rmt_afbf54c3,2963.98,7311.14,INR,15,18,1.00,0,2026-08-18T10:00:00+05:30
pbd_634baae6,room_type,rmt_5868aefd,3704.97,9138.93,INR,15,18,1.00,0,2026-08-18T10:00:00+05:30
pbd_78bd127d,room_type,rmt_64346e8a,4742.36,11697.83,INR,5,30,50.00,0,2026-08-18T10:00:00+05:30
pbd_9c1e3e36,room_type,rmt_aacaeea2,6520.75,16084.51,INR,5,18,1.00,1,2026-08-18T10:00:00+05:30
pbd_aeb983c9,room_type,rmt_a79553dd,5286.47,13039.95,INR,5,18,50.00,0,2026-08-18T10:00:00+05:30
pbd_cbe16060,room_type,rmt_2a598ebb,6608.09,16299.94,INR,8,18,10.00,0,2026-08-18T10:00:00+05:30
pbd_9a28d3a0,room_type,rmt_9273b587,8458.35,20863.93,INR,15,30,1.00,0,2026-08-18T10:00:00+05:30
pbd_34b1b106,room_type,rmt_a4546207,11630.23,28687.89,INR,15,18,1.00,0,2026-08-18T10:00:00+05:30
pbd_cf4eb629,room_type,rmt_3334f1db,10725.59,26456.46,INR,5,30,1.00,0,2026-08-18T10:00:00+05:30
pbd_b4193790,room_type,rmt_e56009dd,2437.64,6012.83,INR,10,30,50.00,1,2026-08-18T10:00:00+05:30
pbd_f41d3384,room_type,rmt_9e7cce83,3120.17,7696.43,INR,10,18,1.00,0,2026-08-18T10:00:00+05:30
pbd_5ff87c70,room_type,rmt_aca68442,4290.24,10582.59,INR,15,25,1.00,0,2026-08-18T10:00:00+05:30
pbd_2865fd93,room_type,rmt_2de3c592,10561.31,26051.22,INR,15,18,1.00,0,2026-08-18T10:00:00+05:30
pbd_b9770bd5,room_type,rmt_ff826355,13201.63,32564.01,INR,10,30,10.00,0,2026-08-18T10:00:00+05:30
pbd_37c7d025,room_type,rmt_0c4e074c,16898.09,41681.94,INR,10,18,50.00,0,2026-08-18T10:00:00+05:30
pbd_bb0d6164,room_type,rmt_5a97e8a0,23234.87,57312.67,INR,10,18,50.00,0,2026-08-18T10:00:00+05:30
pbd_d6f8ab9f,room_type,rmt_3b3f28a1,1956.31,4825.56,INR,8,25,1.00,0,2026-08-18T10:00:00+05:30
pbd_f0edfdfc,room_type,rmt_201a160d,2445.38,6031.94,INR,5,25,10.00,0,2026-08-18T10:00:00+05:30
pbd_ffe08091,room_type,rmt_e539203f,3130.10,7720.90,INR,15,25,10.00,0,2026-08-18T10:00:00+05:30
pbd_ed9de66a,room_type,rmt_fc43c21f,4303.88,10616.23,INR,15,18,50.00,0,2026-08-18T10:00:00+05:30
pbd_d3a75086,room_type,rmt_e11b20fc,7987.08,19701.46,INR,5,25,1.00,0,2026-08-18T10:00:00+05:30
pbd_643938c2,room_type,rmt_419d3a58,9983.85,24626.83,INR,15,25,10.00,0,2026-08-18T10:00:00+05:30
pbd_093f3c26,room_type,rmt_b9868e2d,12779.33,31522.35,INR,10,25,1.00,0,2026-08-18T10:00:00+05:30
pbd_2750ffc9,room_type,rmt_71da0158,17571.58,43343.22,INR,10,18,10.00,0,2026-08-18T10:00:00+05:30
pbd_bfdcafc7,room_type,rmt_963ad866,2216.38,5467.06,INR,10,30,10.00,0,2026-08-18T10:00:00+05:30
pbd_b43930ed,room_type,rmt_edd5323e,2770.48,6833.84,INR,5,18,1.00,0,2026-08-18T10:00:00+05:30
pbd_d1e0c4cd,room_type,rmt_db3ec392,3546.21,8747.32,INR,8,25,1.00,0,2026-08-18T10:00:00+05:30
pbd_0d5bfc66,room_type,rmt_d4ace0f4,4876.04,12027.55,INR,10,18,1.00,0,2026-08-18T10:00:00+05:30
pbd_23f38ebe,room_type,rmt_7aedb95f,5133.53,12662.70,INR,5,30,1.00,0,2026-08-18T10:00:00+05:30
pbd_a30bb097,room_type,rmt_e6e267b9,6416.90,15828.36,INR,10,18,1.00,0,2026-08-18T10:00:00+05:30
pbd_9da3897d,room_type,rmt_5826708f,8213.63,20260.29,INR,8,25,1.00,0,2026-08-18T10:00:00+05:30
pbd_40067e11,room_type,rmt_372183b1,11293.75,27857.91,INR,10,25,50.00,0,2026-08-18T10:00:00+05:30
pbd_d01c2f76,room_type,rmt_51b7ae14,1569.88,3872.36,INR,5,30,1.00,0,2026-08-18T10:00:00+05:30
