event_id,entity_type,entity_id,city_id,event_type,occurred_at,for_date,lead_time_days,channel,party_size,quoted_price,currency,converted,session_id
pev_be03ae9b,room_type,rmt_b2228b31,cty_c07454f1,view,2026-08-12T10:39:00+05:30,2026-08-15,3,agent,3,3417.84,INR,0,ses_3665d953fbce
pev_7d10cf2d,flight_fare,far_1c865b28,cty_7cb0b529,search,2025-10-28T17:51:00+05:30,2025-11-04,7,mobile_app,4,,,0,ses_8a7847e72871
pev_c106b87e,flight_fare,far_65deeddc,cty_c9f34ba7,search,2026-07-28T07:13:00+05:30,2026-08-11,14,web,2,,,0,ses_c320c86570f3
pev_e4d02fed,flight_fare,far_18ec8367,cty_36afaa5c,search,2026-01-17T15:20:00+05:30,2026-02-16,30,mobile_app,1,20806362.71,IDR,0,ses_6212e8d2590a
pev_23ee64e6,room_type,rmt_37928dbf,cty_0d062a51,search,2025-12-16T11:06:00+05:30,2025-12-19,3,web,1,,,0,ses_2d96b2b09700
pev_e4da261b,room_type,rmt_21ed1f88,cty_f288c6a0,search,2025-08-01T15:20:00+05:30,2025-08-15,14,mobile_app,4,,,0,ses_fb3b1de5bf9c
pev_264b1b0d,room_type,rmt_0ac76f1f,cty_f8b75f8e,view,2026-01-12T02:09:00+05:30,2026-02-11,30,mobile_app,2,4603.74,INR,0,ses_6eb70a190149
pev_31671b4f,room_type,rmt_650c9934,cty_bbb31d67,search,2025-11-27T09:39:00+05:30,2026-03-27,120,call_centre,2,,,0,ses_68154fdf946a
pev_ad3f080f,room_type,rmt_18090453,cty_c07454f1,booking,2026-03-15T07:09:00+05:30,2026-05-14,60,partner,1,4338.61,INR,1,ses_ae84869d8c63
pev_822921a6,flight_fare,far_d8c50410,cty_7b89639e,booking,2026-02-19T05:06:00+05:30,2026-03-05,14,web,2,1034.17,AED,1,ses_642d484d6078
pev_e9b7a793,room_type,rmt_5de8d57d,cty_34bbfdfe,booking,2026-08-11T13:36:00+05:30,2026-08-12,1,web,1,5457.66,INR,1,ses_0bf818a0ff27
pev_0a744dd3,flight_fare,far_db107e9f,cty_17b8ef2f,abandon,2026-04-27T11:58:00+05:30,2026-05-27,30,web,4,20217.20,INR,0,ses_0fcb5d441b43
pev_cba3298b,flight_fare,far_a23aab8e,cty_a5f16904,search,2026-08-30T11:54:00+05:30,2026-09-13,14,web,6,6854.86,THB,0,ses_9a5d161bc08f
pev_0d898409,room_type,rmt_e2cbaed4,cty_541018a9,search,2026-01-24T15:32:00+05:30,2026-02-23,30,partner,1,25531.95,INR,0,ses_2c2dd244abc5
pev_bb1a2302,room_type,rmt_b0159276,cty_d35a9652,search,2025-10-26T09:54:00+05:30,2025-10-27,1,call_centre,2,,,0,ses_f9feb901fa67
pev_d4a5ac09,room_type,rmt_aa7eb6d2,cty_ccb4fb74,search,2026-01-08T11:55:00+05:30,2026-01-11,3,web,2,,,0,ses_d0c4d41acd7a
pev_2771a66c,flight_fare,far_b875b0c8,cty_0b92e2e7,view,2025-11-23T22:44:00+05:30,2025-11-30,7,mobile_app,2,11879.52,INR,0,ses_6f0310a80aed
pev_f946237e,flight_fare,far_76cf8d1b,cty_7cb0b529,search,2026-04-29T12:58:00+05:30,2026-05-29,30,web,1,19686.44,INR,0,ses_7e9da788e15b
pev_220416d6,room_type,rmt_585c4ce8,cty_a50bc5dd,search,2025-12-16T18:52:00+05:30,2026-02-14,60,web,1,,,0,ses_a97bf3cf8835
pev_8f79bc33,room_type,rmt_85a4674c,cty_1ced6ede,search,2026-01-04T00:13:00+05:30,2026-02-03,30,web,1,3896.26,AED,0,ses_5058fd5c2804
pev_24964187,room_type,rmt_aec8441a,cty_8fc1539e,search,2025-10-08T07:53:00+05:30,2025-12-07,60,web,4,8578.29,INR,0,ses_266b13488875
pev_8461ea67,room_type,rmt_4f1d0d38,cty_0b92e2e7,booking,2026-02-08T03:54:00+05:30,2026-03-10,30,mobile_app,1,8181.26,INR,1,ses_68670c1d4131
pev_0dc1b3f8,room_type,rmt_4477c345,cty_aa759717,abandon,2026-05-29T01:14:00+05:30,2026-06-28,30,web,3,16955.46,INR,0,ses_72c160ce1c0b
pev_d9ed0d26,room_type,rmt_585c4ce8,cty_a50bc5dd,search,2026-02-20T14:35:00+05:30,2026-03-22,30,web,6,21306.87,LKR,0,ses_fe4a2a8285c6
pev_2096d877,room_type,rmt_aec8441a,cty_8fc1539e,cancellation,2026-06-25T02:13:00+05:30,2026-07-25,30,mobile_app,4,4375.66,INR,0,ses_d5bc210a5c7c
pev_4d3e7b2c,room_type,rmt_fc346c00,cty_7be8559f,search,2026-07-02T21:51:00+05:30,2026-07-09,7,mobile_app,2,6014.72,INR,0,ses_2152a0c856aa
pev_fb3bf6a3,room_type,rmt_08a2564d,cty_7fc82336,search,2026-05-29T05:22:00+05:30,2026-05-30,1,partner,2,4160.44,INR,0,ses_23d490ad1fc1
pev_9b0ac181,room_type,rmt_72d2bca1,cty_0b7f5985,search,2026-06-11T18:24:00+05:30,2026-07-11,30,agent,2,2717.70,CHF,0,ses_4e209c1fa907
pev_84a80468,flight_fare,far_d8c50410,cty_7b89639e,search,2026-06-08T16:57:00+05:30,2026-06-09,1,web,2,725.04,AED,0,ses_66e5f46020e6
pev_04af0134,room_type,rmt_87e691a5,cty_f288c6a0,search,2026-06-23T20:43:00+05:30,2026-07-23,30,mobile_app,2,2824.03,INR,0,ses_813730311b2b
pev_f3e8c559,flight_fare,far_27778630,cty_718f03c7,booking,2026-05-07T19:04:00+05:30,2026-05-10,3,call_centre,3,3992.46,INR,1,ses_6fed45118fe4
pev_be2a47c6,flight_fare,far_b875b0c8,cty_0b92e2e7,view,2026-08-27T21:08:00+05:30,2026-08-30,3,mobile_app,1,7379.01,INR,0,ses_afed97c78b59
pev_2c13263c,flight_fare,far_69a853d5,cty_c07454f1,search,2026-02-04T22:53:00+05:30,2026-02-18,14,mobile_app,4,,,0,ses_b0df00da7d53
pev_d61b848a,flight_fare,far_63aacbcb,cty_718f03c7,cancellation,2025-10-02T22:01:00+05:30,2025-11-01,30,mobile_app,2,14578.13,INR,0,ses_bceb96159178
pev_cb197e9e,room_type,rmt_86c135a7,cty_7cb0b529,view,2025-10-23T21:51:00+05:30,2025-10-30,7,mobile_app,2,14799.02,INR,0,ses_0201d3494e47
pev_4e1ca3ab,room_type,rmt_cd0a1cfc,cty_bbb31d67,view,2025-10-04T03:49:00+05:30,2025-10-05,1,web,1,9280.97,INR,0,ses_7744fe496bc2
pev_b3932ab8,room_type,rmt_ebdd19b2,cty_5d572c8a,search,2025-10-28T05:22:00+05:30,2025-11-27,30,mobile_app,4,,,0,ses_cbe08307500c
pev_0348ee1a,room_type,rmt_1854e628,cty_cf1c6ac5,view,2025-12-05T15:31:00+05:30,2026-01-04,30,web,6,5282.62,INR,0,ses_a365e371163c
pev_9304d301,room_type,rmt_d3c6ad86,cty_c07454f1,search,2025-11-11T22:37:00+05:30,2025-11-18,7,mobile_app,1,,,0,ses_c46415b29701
pev_f903df54,room_type,rmt_d6a2032a,cty_d401ef6b,search,2026-04-10T16:15:00+05:30,2026-04-17,7,web,2,,,0,ses_2ebab17a317e
pev_c3eafef4,room_type,rmt_34911919,cty_718f03c7,view,2025-10-09T03:14:00+05:30,2025-11-08,30,mobile_app,2,4117.86,INR,0,ses_3450a9c4544a
pev_b2c2b67d,room_type,rmt_0c4e074c,cty_32e8e65c,search,2026-07-12T22:45:00+05:30,2026-07-19,7,web,2,22882.26,INR,0,ses_d6ee14dabb7c
pev_950be66d,room_type,rmt_498722f7,cty_5d572c8a,booking,2026-07-14T05:08:00+05:30,2026-07-28,14,mobile_app,1,10395.10,INR,1,ses_58cf65847879
pev_c1692465,flight_fare,far_a942e636,cty_36afaa5c,view,2026-06-17T18:19:00+05:30,2026-08-16,60,mobile_app,4,7527973.33,IDR,0,ses_d3130c4f1f1f
pev_55ccdfc1,room_type,rmt_3882e37c,cty_7be8559f,search,2025-10-30T07:04:00+05:30,2025-11-29,30,agent,1,4936.11,INR,0,ses_4d48defdf52c
pev_493d3279,room_type,rmt_0b8a6b18,cty_0b92e2e7,search,2026-08-12T04:59:00+05:30,2026-08-13,1,web,4,,,0,ses_528cefde25bb
pev_145b4e8c,room_type,rmt_6013d7cb,cty_6320eea9,search,2026-07-27T03:01:00+05:30,2026-07-28,1,mobile_app,2,4334.68,QAR,0,ses_4846377bd823
pev_b9bc4b2f,room_type,rmt_21ed1f88,cty_f288c6a0,search,2026-02-16T02:29:00+05:30,2026-03-18,30,web,1,,,0,ses_63e9241f0c48
pev_93fcb56a,room_type,rmt_bc554dab,cty_c0f2d9de,search,2026-02-18T09:36:00+05:30,2026-03-04,14,web,2,,,0,ses_69e165e79d2f
pev_be291906,room_type,rmt_419d3a58,cty_9327d518,search,2026-02-05T20:23:00+05:30,2026-03-07,30,mobile_app,4,14713.53,INR,0,ses_3370f97d6f09
pev_05e746d6,room_type,rmt_92dd27a3,cty_009c9fd2,search,2025-12-07T21:09:00+05:30,2025-12-21,14,mobile_app,2,,,0,ses_d00bfbecad7e
pev_6b1cf393,room_type,rmt_0b8a6b18,cty_0b92e2e7,search,2026-02-01T21:44:00+05:30,2026-02-04,3,web,2,,,0,ses_c27a9aa155ab
pev_85bfaeb5,room_type,rmt_146c863c,cty_a5f16904,search,2025-09-22T01:22:00+05:30,2025-11-21,60,mobile_app,3,,,0,ses_26bdf1b08311
pev_07121963,flight_fare,far_c4064b84,cty_36afaa5c,search,2025-10-13T15:46:00+05:30,2026-02-10,120,web,3,,,0,ses_98aa41eb0cfb
pev_0d9ca29a,flight_fare,far_76cf8d1b,cty_7cb0b529,view,2026-07-30T10:28:00+05:30,2026-08-29,30,web,3,20507.98,INR,0,ses_b897158a17dd
pev_0d828364,room_type,rmt_b80932d3,cty_95d040d8,booking,2026-04-01T19:37:00+05:30,2026-04-08,7,web,4,5209.64,NPR,1,ses_6d0acbeb02ee
pev_a48ee249,flight_fare,far_165ae9b3,cty_905fd8a1,search,2026-06-09T04:13:00+05:30,2026-08-08,60,web,4,,,0,ses_4ca591776d13
pev_ee04734c,room_type,rmt_79b4537e,cty_1ced6ede,search,2025-10-19T11:19:00+05:30,2025-10-20,1,web,4,9572.29,AED,0,ses_4b8f312631ba
pev_6b3a5b52,flight_fare,far_cc6fa0e2,cty_95e7c8ca,search,2026-02-09T20:54:00+05:30,2026-03-11,30,mobile_app,6,,,0,ses_33513fe2e8f5
pev_f7c44d4e,room_type,rmt_48c1970b,cty_9327d518,search,2025-11-29T21:07:00+05:30,2025-12-13,14,mobile_app,3,6220.23,INR,0,ses_4e9561fd9131
pev_8fbaa173,room_type,rmt_2698e098,cty_caf3c1ee,search,2025-08-11T13:39:00+05:30,2025-10-10,60,call_centre,2,12612.42,INR,0,ses_2b11b319dfe0
pev_68ab9122,room_type,rmt_85a4674c,cty_1ced6ede,view,2026-08-07T22:17:00+05:30,2026-08-21,14,web,1,2916.20,AED,0,ses_fba3aade94fb
pev_ca9d269d,room_type,rmt_f42e207b,cty_c43cfa94,booking,2025-11-16T00:57:00+05:30,2025-11-30,14,web,2,11174.53,INR,1,ses_34515cd1a3c1
pev_5ab0e6d4,room_type,rmt_ecd29352,cty_718f03c7,search,2026-06-07T09:36:00+05:30,2026-06-21,14,web,2,2366.58,INR,0,ses_342f086f562a
pev_d5741468,room_type,rmt_79aa251b,cty_7f673457,search,2026-03-08T05:42:00+05:30,2026-03-15,7,web,3,,,0,ses_e05225b993ac
pev_2a2ac2d9,flight_fare,far_8f3c9db5,cty_7b89639e,booking,2026-08-18T15:57:00+05:30,2026-09-01,14,mobile_app,4,1478.91,AED,1,ses_7c294aa83b89
pev_42cfffbe,room_type,rmt_1e984702,cty_c07454f1,abandon,2025-09-11T06:56:00+05:30,2025-09-18,7,web,2,19775.92,INR,0,ses_222921c09743
pev_0b850a03,room_type,rmt_9efd9ddb,cty_541018a9,search,2025-09-08T07:47:00+05:30,2025-09-09,1,web,2,16762.03,INR,0,ses_53aaf365a5b7
pev_73e5ac49,room_type,rmt_1e984702,cty_c07454f1,search,2026-06-06T14:56:00+05:30,2026-06-09,3,mobile_app,2,,,0,ses_bddd9bd71682
pev_f8bdbc31,flight_fare,far_b90566bc,cty_c9f34ba7,search,2026-04-26T21:08:00+05:30,2026-05-10,14,web,6,,,0,ses_0b4ae0016592
pev_ab711052,room_type,rmt_58db3ea9,cty_0b7f5985,search,2025-09-05T06:07:00+05:30,2025-09-19,14,partner,3,,,0,ses_b936b8f17a41
pev_02ea75fe,room_type,rmt_efe926e5,cty_b6ccbb3b,search,2026-04-05T11:45:00+05:30,2026-08-03,120,web,3,,,0,ses_f3f89b7db00b
pev_b136b98a,flight_fare,far_82db1905,cty_c9f34ba7,search,2026-04-26T21:49:00+05:30,2026-05-26,30,web,2,735.96,MYR,0,ses_727783e2a4fd
pev_8cd1898e,room_type,rmt_92dd27a3,cty_009c9fd2,search,2026-03-20T12:51:00+05:30,2026-03-21,1,mobile_app,4,,,0,ses_84b5ca76f02b
pev_4a73fa1f,room_type,rmt_445d4d30,cty_17b8ef2f,search,2025-08-14T03:08:00+05:30,2025-08-21,7,mobile_app,2,,,0,ses_0c6873175324
pev_3f3b4629,room_type,rmt_b4e8bb06,cty_51a149b7,view,2026-04-06T09:11:00+05:30,2026-05-06,30,web,4,7462.28,JPY,0,ses_9bbc8552003d
pev_34dc263e,flight_fare,far_327f9fff,cty_c07454f1,search,2026-06-27T04:06:00+05:30,2026-10-25,120,mobile_app,2,41196.17,INR,0,ses_a952e2d05e31
pev_e871302b,flight_fare,far_d8c50410,cty_7b89639e,search,2026-04-11T08:14:00+05:30,2026-04-18,7,mobile_app,6,915.88,AED,0,ses_7f9f8c96d594
pev_35d12677,room_type,rmt_efe926e5,cty_b6ccbb3b,search,2025-08-08T20:46:00+05:30,2025-08-15,7,web,2,20858.41,INR,0,ses_b33a87b2f674
pev_0af6d7ad,room_type,rmt_37ade1d3,cty_6320eea9,search,2026-08-14T00:06:00+05:30,2026-12-12,120,web,6,,,0,ses_98fb762812c2
pev_df888218,room_type,rmt_ef9de2f5,cty_7f673457,search,2026-02-25T21:13:00+05:30,2026-06-25,120,mobile_app,1,5380.90,INR,0,ses_e5ce81afbd8e
pev_a750ed71,flight_fare,far_a942e636,cty_36afaa5c,view,2026-02-03T11:44:00+05:30,2026-02-04,1,web,3,15597783.09,IDR,0,ses_1d5e619a24a6
pev_8e7a25a6,room_type,rmt_ca391f47,cty_79cbc59b,search,2026-08-28T22:43:00+05:30,2026-08-29,1,web,4,,,0,ses_617cd2e53749
pev_18ab45c0,room_type,rmt_4fb25af9,cty_d4f5e3a5,search,2026-03-04T21:39:00+05:30,2026-03-05,1,partner,2,,,0,ses_75d92256d7d4
pev_f5f6eff1,room_type,rmt_bc84cb85,cty_f8b75f8e,view,2025-11-27T08:03:00+05:30,2026-01-26,60,partner,2,3888.61,INR,0,ses_87c67efd4220
pev_27a82f03,flight_fare,far_06ce0cf5,cty_c07454f1,search,2026-04-17T09:06:00+05:30,2026-04-24,7,mobile_app,2,8379.68,INR,0,ses_c1b779cc602a
pev_0b49aed8,room_type,rmt_e5fb22cb,cty_51a149b7,search,2026-01-25T19:46:00+05:30,2026-02-24,30,web,1,20821.19,JPY,0,ses_7623698fb3da
pev_6ffe10a7,room_type,rmt_08652597,cty_d401ef6b,search,2026-03-17T01:29:00+05:30,2026-03-24,7,partner,4,11624.92,INR,0,ses_61a1b306e2a2
pev_358f80db,room_type,rmt_146c863c,cty_a5f16904,search,2025-11-09T16:37:00+05:30,2025-11-16,7,mobile_app,4,,,0,ses_dd73472dd081
pev_bd576e8e,room_type,rmt_4613ddfe,cty_d4f5e3a5,search,2026-05-15T00:18:00+05:30,2026-05-29,14,mobile_app,2,3599.02,INR,0,ses_3d85ca3c9160
pev_60e7a52e,room_type,rmt_69fb5df6,cty_5d572c8a,search,2025-12-27T21:38:00+05:30,2026-01-10,14,web,3,,,0,ses_084b17d94c82
pev_41575f04,room_type,rmt_56ab8a0a,cty_076e8e86,search,2025-08-28T19:24:00+05:30,2025-08-31,3,web,4,1990.80,INR,0,ses_e17a7b0c9e34
pev_240f31eb,room_type,rmt_fdc49e70,cty_67ee7f6f,view,2026-07-31T13:55:00+05:30,2026-11-28,120,web,2,7510.52,INR,0,ses_45a38c14da4b
pev_21c9c8a8,room_type,rmt_ecd29352,cty_718f03c7,abandon,2026-04-22T05:20:00+05:30,2026-04-25,3,web,2,2492.38,INR,0,ses_309c3f1983ac
pev_2153cc1c,flight_fare,far_dc3922e2,cty_905fd8a1,abandon,2025-12-19T14:17:00+05:30,2025-12-20,1,mobile_app,1,1801.86,SGD,0,ses_4f1fff38956b
pev_5bd70ae7,room_type,rmt_65a29424,cty_a5f16904,booking,2025-08-09T20:54:00+05:30,2025-10-08,60,mobile_app,4,4112.55,THB,1,ses_650b4cb22bc2
pev_8bd02e53,room_type,rmt_b6ed5055,cty_bbb31d67,search,2025-12-11T20:34:00+05:30,2026-02-09,60,web,2,2832.65,INR,0,ses_67bb8967647f
pev_c78dfda0,room_type,rmt_066230cc,cty_009c9fd2,view,2025-09-20T15:24:00+05:30,2025-11-19,60,mobile_app,2,15419.29,LKR,0,ses_54c158084f12
pev_5f14fd87,flight_fare,far_a942e636,cty_36afaa5c,cancellation,2025-10-20T09:35:00+05:30,2025-10-21,1,mobile_app,1,16003050.09,IDR,0,ses_454887f375bc
pev_91616a25,room_type,rmt_89a1197c,cty_aa759717,view,2025-11-08T04:49:00+05:30,2025-11-15,7,web,2,21952.23,INR,0,ses_0a4fade93378
pev_1293997d,room_type,rmt_4477c345,cty_aa759717,search,2026-06-20T12:43:00+05:30,2026-07-20,30,web,2,15209.07,INR,0,ses_868de9aac1d2
pev_1c12be2f,room_type,rmt_6b51e2cf,cty_905fd8a1,booking,2026-03-29T04:32:00+05:30,2026-04-12,14,web,6,19191.91,SGD,1,ses_0bc8c067a8f8
pev_3185b653,room_type,rmt_81879895,cty_076e8e86,search,2025-09-28T21:40:00+05:30,2025-10-28,30,web,1,,,0,ses_4453a25c9db9
pev_7f3eaee2,room_type,rmt_fd4ca39c,cty_8b6b1652,search,2025-10-24T18:42:00+05:30,2025-12-23,60,web,4,,,0,ses_6de26e174b8c
pev_b9d63abb,room_type,rmt_4f3fa69d,cty_621f4a84,search,2025-09-21T12:30:00+05:30,2025-10-05,14,mobile_app,2,9641.49,INR,0,ses_1634748054a1
pev_49e6b030,flight_fare,far_03dcf1b9,cty_cfec17b6,search,2026-02-21T19:26:00+05:30,2026-03-23,30,web,3,,,0,ses_3e7c5fbe70d3
pev_4b3ff7de,room_type,rmt_cea22577,cty_67ee7f6f,cancellation,2026-05-02T06:12:00+05:30,2026-05-09,7,mobile_app,2,7244.20,INR,0,ses_ac7db387e13a
pev_d108e26e,room_type,rmt_146c863c,cty_a5f16904,search,2025-12-05T03:23:00+05:30,2025-12-06,1,web,2,15142.99,THB,0,ses_ea4a4aa809a4
pev_bedf4e9d,room_type,rmt_1b395694,cty_cfec17b6,view,2025-11-04T07:25:00+05:30,2025-12-04,30,web,1,34479.21,INR,0,ses_f58568877d60
pev_5a720343,room_type,rmt_4b888cdb,cty_10cbee86,view,2025-08-24T20:51:00+05:30,2025-09-23,30,web,2,6291.90,INR,0,ses_a6129a260ec1
pev_62fae535,room_type,rmt_aa7eb6d2,cty_ccb4fb74,view,2025-08-15T12:35:00+05:30,2025-09-14,30,mobile_app,2,2139.54,INR,0,ses_d4f651c4e9b5
pev_d64738d9,room_type,rmt_648449a2,cty_8b6b1652,view,2026-05-27T10:28:00+05:30,2026-06-03,7,agent,3,5212.23,INR,0,ses_7f7eb5e25c26
pev_a58b6e53,room_type,rmt_a8f140d8,cty_0d062a51,booking,2026-05-12T01:17:00+05:30,2026-09-09,120,web,2,20548.03,INR,1,ses_91edaeaf10c5
pev_6ef0aa07,room_type,rmt_7d0cef5a,cty_8b6b1652,booking,2026-03-10T04:43:00+05:30,2026-03-13,3,web,2,5951.41,INR,1,ses_6612d46dc54d
pev_9420906c,room_type,rmt_4a3554c4,cty_828a7777,booking,2025-09-14T18:12:00+05:30,2025-09-17,3,mobile_app,2,11045.01,INR,1,ses_ed77e55265cf
pev_46044000,flight_fare,far_db107e9f,cty_17b8ef2f,search,2025-11-30T03:04:00+05:30,2025-12-01,1,partner,2,52874.28,INR,0,ses_6ce53db4f9e3
pev_eb406ac8,flight_fare,far_a942e636,cty_36afaa5c,view,2025-09-08T14:28:00+05:30,2025-09-09,1,web,1,12634337.54,IDR,0,ses_bc22a8e09fb7
pev_b544f416,room_type,rmt_26ce7f6b,cty_d401ef6b,search,2026-07-04T12:43:00+05:30,2026-07-18,14,web,2,,,0,ses_bed4b68c379f
pev_3de9790d,flight_fare,far_d8c50410,cty_7b89639e,search,2025-08-18T11:47:00+05:30,2025-09-17,30,web,4,,,0,ses_2f157baebceb
pev_d9e2c351,room_type,rmt_bbe2ad27,cty_076e8e86,search,2025-12-27T20:04:00+05:30,2026-01-26,30,mobile_app,3,,,0,ses_6b90e008c87e
pev_8dd245e1,flight_fare,far_165ae9b3,cty_905fd8a1,view,2026-05-12T07:25:00+05:30,2026-06-11,30,mobile_app,2,808.19,SGD,0,ses_3d5abd88444b
pev_d0fa63cd,room_type,rmt_e1c75857,cty_f29656ff,search,2025-12-04T21:48:00+05:30,2025-12-18,14,mobile_app,3,12676.81,INR,0,ses_ee390a7026ff
pev_52cf2798,flight_fare,far_ec71e6f4,cty_8b6b1652,search,2026-07-15T18:28:00+05:30,2026-07-22,7,web,1,7053.03,INR,0,ses_c9b46fa601a6
pev_1f7a7cb2,room_type,rmt_12804e9a,cty_67ee7f6f,booking,2026-02-17T21:11:00+05:30,2026-02-20,3,mobile_app,2,19860.63,INR,1,ses_cae25024cba5
